Date,Volume,Open,Close,High,Low,CCI,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
2/4/20,1093377,202,203.94,204.19,200.51,145.79430728322524,55.440000000000026,17.830000000000013,11.980000000000018,32.16089466089467,21.60894660894663,18.35796180168511,38.53481695730267
2/5/20,1366488,206.72,202.08,207.19,200.79,138.18551356767267,59.680000000000035,20.830000000000013,11.360000000000014,34.902815013404826,19.034852546916902,17.473190303463426,36.770136636587864
2/6/20,1326371,203.62,206,206.92,202.46,148.81412600564192,62.19,19.879999999999995,11.360000000000014,31.966554108377547,18.266602347644337,16.76674698832446,32.935372052637604
2/7/20,1410217,205.58,207.01,210.13,204.64,164.73337284551783,64.75,21.97,11.360000000000014,33.93050193050193,17.544401544401566,19.603400775398523,29.34770853896618
2/10/20,1556983,207.24,206.1,207.76,205.34,141.96054008701583,62.96999999999997,18.659999999999997,11.360000000000014,29.633158646974756,18.040336668254756,23.12102914,26.318843106442536
2/11/20,1289730,207.35,205.8,207.99,204.52,127.53066726518266,62.339999999999975,17.49000000000001,12.180000000000007,28.055822906641026,19.538017324350356,25.060543238188433,22.40925934198458
2/12/20,1177216,206.76,207.11,207.72,205.45,125.49648928085375,59.45999999999998,17.49000000000001,11.319999999999993,29.414732593340087,19.038008745375038,25.359191202737577,21.858576502211342
2/13/20,897453,206.34,207.51,208.47,206.34,124.6266052484642,58.599999999999966,16.25,11.319999999999993,27.730375426621176,19.31740614334471,23.436304750189958,20.454747526826694
2/14/20,996939,208.09,208.95,209.2,207.24,128.00961455505598,54.329999999999956,16.97999999999999,6.3700000000000045,31.253451131971296,11.72464568,26.46401223185889,21.615379610091676
2/18/20,1342962,209.47,207.06,209.82,206.9,109.29517657847983,52.49999999999994,14.319999999999993,6.3700000000000045,27.276190476190493,12.133333333333356,27.562541611138048,23.582971193268286
2/19/20,1569936,209.33,210.76,211.18,208.64,125.16623103533881,53.90999999999997,14.54000000000002,6.3700000000000045,26.970877388239714,11.815989612316839,30.021723666610303,26.57137640131105
2/20/20,1527322,210.44,206.67,211.58,205.07,86.56832123677003,56.559999999999974,14.54000000000002,8.059999999999974,25.707213578500756,14.250353606789211,31.817673808435913,28.43910852331217
2/21/20,1774916,205,201.91,206.27,199.85,17.647109347488332,57.369999999999976,14.54000000000002,9.609999999999985,25.34425658009417,16.75091511242808,31.65065776438443,28.504924483561005
2/24/20,2104856,195.56,194.37,197.29,192.43,-93.87661264,63.75999999999996,13.920000000000016,17.029999999999973,21.831869510665033,26.709535759096585,30.345109386915116,26.890707068552537
2/25/20,2282521,196.47,186.73,197.42,185.74,-154.9193129,70.50999999999993,9.670000000000016,23.71999999999997,13.714366756488477,33.64061835,29.785025127586376,28.124518679722634
2/26/20,2850215,188.59,190.67,194.15,187.66,-139.7846159,71.52999999999994,6.670000000000016,23.71999999999997,9.324758842,33.16091150566195,32.73162879073287,30.147085200935457
2/27/20,2688333,184.24,180.65,188.49,180.07,-215.663944,77.28999999999996,6.670000000000016,31.309999999999974,8.629835683788354,40.50976840470952,37.032301525180664,33.527012595895485
2/28/20,4340064,176.57,190.88,191.36,175.05,-166.248621,88.10999999999996,3.460000000000008,36.329999999999956,3.926909544887084,41.232550221314234,46.021656405262696,38.91966510684931
3/2/20,2698908,190.67,190.83,191.97,183.27,-122.7212682,94.38999999999996,4.069999999999993,36.329999999999956,4.311897446763423,38.489246742239615,55.92789081752378,43.789274290954104
3/3/20,2756240,187.85,180.55,190,177.82,-161.5318273,103.92999999999998,4.069999999999993,40.95999999999998,3.9160973732319775,39.41114211488501,67.907007,49.126058191357906
3/4/20,2242924,183.9,191.42,191.68,182.13,-100.4160301,112.78999999999996,5.75,40.95999999999998,5.0979696781629595,36.31527617696604,73.45726327496236,51.62114420127437
3/5/20,2328656,185.47,184.04,192.73,182.83,-105.5938901,120.55999999999995,6.049999999999983,40.95999999999998,5.018248175,33.97478433974784,76.48339894204967,54.60751386639127
3/6/20,3272212,177.83,173.42,179.68,168.55,-181.2712803,134.08999999999995,5.319999999999993,55.23999999999998,3.9674845253188122,41.196211499738986,79.40913171433313,58.22071662
3/9/20,3108606,157.82,160.05,164.81,156.71,-231.5212045,147.87999999999994,4.699999999999989,67.07999999999998,3.1782526372734585,45.3611036,80.12508747,63.07337194
3/10/20,3439444,165.6,164.48,166.5,157.1,-184.2892272,153.15999999999994,5.029999999999973,67.07999999999998,3.2841472969443553,43.79733611909115,81.15802189237009,68.54295635494694
3/11/20,2789599,159.55,154.4,161.75,152.36,-188.7951396,158.7699999999999,5.029999999999973,68.24999999999997,3.1681048056937557,42.98671033570575,81.88280051318928,74.89490375449499
