Date,Volume,Open,Close,High,Low,CCI,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
9/17/24,950014,268.09,266.89,270.25,266.49,168.36846674201087,93.79000000000002,33.94999999999999,11.349999999999937,36.19788890073567,12.10150335856694,44.67016870257348,49.47644053618946
9/18/24,1155962,267.97,264.21,267.97,263.57,126.41844872250732,93.78000000000006,33.94999999999999,11.339999999999975,36.20174877372571,12.09213051823413,46.32892065,47.145311592505905
9/19/24,1911477,270.25,269.76,272.34,267.79,172.67674873974042,94.71000000000006,33.47999999999996,11.339999999999975,35.350015837820656,11.973392461197305,47.710090731042044,45.414202796888404
9/20/24,2551359,270.58,267.29,272.72,266.5,141.5871894501343,83.28000000000006,19.619999999999948,12.629999999999995,23.559077809798193,15.165706051873183,44.00102232424326,41.99405096058175
9/23/24,2070572,269.23,268.46,269.38,266.92,120.43939941745934,74.74000000000004,19.619999999999948,11.430000000000007,26.25100347872617,15.293015788065295,40.78188045906338,41.07428837383182
9/24/24,870049,267.94,269.65,270.12,266.62,115.24579517693842,74.19000000000003,20.359999999999957,9.970000000000027,27.443051624208046,13.438468796333769,38.58627953937327,40.62813188168122
9/25/24,1174516,268.95,268,270.74,267.57,103.85997544010743,70.20000000000007,20.97999999999996,4.460000000000036,29.886039886039804,6.3532763532763985,41.09419323840272,42.88218097048809
9/26/24,1108009,271.13,273.36,273.49,269.73,129.74789450354618,70.3,23.72999999999996,4.210000000000036,33.75533428164997,5.988620199146559,44.41773890942731,45.37332978
9/27/24,614886,273.36,271.9,274.5,271,120.64413876050064,68.12000000000009,23.68999999999994,4.210000000000036,34.77686436,6.180270111567867,47.821605270930625,47.76584800098634
9/30/24,1109835,274.84,275.48,275.85,272.06,130.54317558370136,66.45,23.239999999999952,4.210000000000036,34.973664409330205,6.335590669676494,55.76354339662777,49.88228286043551
10/1/24,1043974,274.61,267.47,275,266.55,73.31224291690268,67.65000000000009,21.41999999999996,9.720000000000027,31.662971175166195,14.368070953436828,57.629450520137304,49.20566548960034
10/2/24,827262,267.92,270.17,271.99,267.44,70.03477092570293,68.18000000000012,20.45999999999998,9.720000000000027,30.00880023467284,14.256380170137884,57.85111208826018,48.21869581381672
10/3/24,740033,267.55,268.59,270.57,267.55,55.52670537915405,66.12000000000012,16.539999999999964,9.720000000000027,25.01512402,14.700544464609814,51.35677070927468,46.22548197
10/4/24,846556,272.86,271.16,273.85,267.49,72.37944746235503,67.44000000000011,15.370000000000005,9.720000000000027,22.79062870699878,14.412811387900373,43.46592697,43.94183294
