,Date,code,Open,Close,High,Low,Vol,VoT,exchange,CLOSE,HIGH,LOW,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
213,7/25/02,600519,-260.3,-260.37,-260.26,-260.41,1700,5497155,0.22,-260.37,-260.26,-260.41,1.19,0.25,0.21,21.01,17.65,17.38,31.47
214,7/26/02,600519,-260.33,-260.41,-260.33,-260.42,1558,5017641,0.2,-260.41,-260.33,-260.42,1.21,0.2,0.22,16.53,18.18,13.57,28.03
215,7/29/02,600519,-260.39,-260.51,-260.38,-260.53,2557,8122111,0.33,-260.51,-260.38,-260.53,1.32,0.2,0.32,15.15,24.24,11.86,26.16
216,7/30/02,600519,-260.51,-260.54,-260.49,-260.55,3446,10878707,0.44,-260.54,-260.49,-260.55,1.26,0.2,0.26,15.87,20.63,11.86,23.97
217,7/31/02,600519,-260.54,-260.59,-260.5,-260.6,2580,8116149,0.33,-260.59,-260.5,-260.6,1.24,0.2,0.31,16.13,25.0,11.86,21.51
218,8/1/02,600519,-260.6,-260.6,-260.55,-260.62,2001,6261720,0.25,-260.6,-260.55,-260.62,1.23,0.2,0.33,16.26,26.83,15.95,19.8
219,8/2/02,600519,-260.59,-260.56,-260.49,-260.65,1254,3927364,0.16,-260.56,-260.49,-260.65,1.34,0.26,0.33,19.4,24.63,16.47,16.93
220,8/5/02,600519,-260.56,-260.59,-260.55,-260.6,1078,3381000,0.14,-260.59,-260.55,-260.6,1.3,0.26,0.29,20.0,22.31,16.59,15.08
221,8/6/02,600519,-260.59,-260.57,-260.53,-260.61,2092,6575058,0.27,-260.57,-260.53,-260.61,1.31,0.28,0.28,21.37,21.37,12.74,12.3
222,8/7/02,600519,-260.56,-260.57,-260.55,-260.58,1356,4259610,0.17,-260.57,-260.55,-260.58,1.22,0.18,0.28,14.75,22.95,14.19,13.03
223,8/8/02,600519,-260.57,-260.59,-260.53,-260.61,1265,3969885,0.16,-260.59,-260.53,-260.61,1.26,0.18,0.31,14.29,24.6,15.02,13.44
224,8/9/02,600519,-260.61,-260.66,-260.58,-260.67,2490,7741685,0.32,-260.66,-260.58,-260.67,1.28,0.13,0.37,10.16,28.91,18.93,17.44
225,8/12/02,600519,-260.7,-260.74,-260.68,-260.74,2251,6900600,0.29,-260.74,-260.68,-260.74,1.27,0.13,0.37,10.24,29.13,24.95,20.71
226,8/13/02,600519,-260.72,-260.74,-260.72,-260.79,1704,5204223,0.22,-260.74,-260.72,-260.79,1.26,0.12,0.42,9.52,33.33,33.3,24.95
227,8/14/02,600519,-260.66,-260.66,-260.66,-260.74,2472,7621220,0.31,-260.66,-260.66,-260.74,1.19,0.14,0.42,11.76,35.29,41.64,27.19
228,8/15/02,600519,-260.66,-260.71,-260.66,-260.71,1260,3886298,0.16,-260.71,-260.66,-260.71,1.15,0.14,0.41,12.17,35.65,46.2,30.19
229,8/16/02,600519,-260.77,-260.7,-260.69,-260.81,2241,6857222,0.28,-260.7,-260.69,-260.81,1.12,0.14,0.4,12.5,35.71,49.8,32.41
230,8/19/02,600519,-260.7,-260.73,-260.68,-260.74,1109,3407937,0.14,-260.73,-260.68,-260.74,1.12,0.15,0.38,13.39,33.93,49.03,33.98
231,8/20/02,600519,-260.75,-260.68,-260.66,-260.75,2372,7316845,0.3,-260.68,-260.66,-260.75,1.11,0.17,0.33,15.32,29.73,46.37,35.66
232,8/21/02,600519,-260.66,-260.68,-260.66,-260.71,1695,5229829,0.22,-260.68,-260.66,-260.71,1.09,0.17,0.31,15.6,28.44,41.97,37.64
233,8/22/02,600519,-260.66,-260.62,-260.58,-260.68,4220,13173485,0.54,-260.62,-260.58,-260.68,1.03,0.19,0.31,18.45,30.1,37.63,39.64
234,8/23/02,600519,-260.62,-260.61,-260.58,-260.62,2431,7592485,0.31,-260.61,-260.58,-260.62,1.02,0.19,0.31,18.63,30.39,33.45,39.82
235,8/26/02,600519,-260.62,-260.72,-260.62,-260.73,2631,8109133,0.33,-260.72,-260.62,-260.73,1.06,0.17,0.42,16.04,39.62,32.49,41.14
236,8/27/02,600519,-260.72,-260.69,-260.68,-260.74,2584,7938100,0.33,-260.69,-260.68,-260.74,1.09,0.17,0.43,15.6,39.45,32.48,40.76
237,8/28/02,600519,-260.68,-260.76,-260.63,-260.77,3765,11550000,0.48,-260.76,-260.63,-260.77,1.15,0.22,0.4,19.13,34.78,31.98,39.17
238,8/29/02,600519,-260.76,-260.77,-260.73,-260.78,2899,8846652,0.37,-260.77,-260.73,-260.78,1.11,0.22,0.35,19.82,31.53,30.92,36.45
239,8/30/02,600519,-260.75,-260.77,-260.75,-260.78,1887,5751168,0.24,-260.77,-260.75,-260.78,1.06,0.22,0.28,20.75,26.42,28.92,33.28
240,9/2/02,600519,-260.78,-260.79,-260.77,-260.8,2341,7119903,0.3,-260.79,-260.77,-260.8,1.02,0.22,0.25,21.57,24.51,25.99,29.72
241,9/3/02,600519,-260.79,-260.74,-260.68,-260.79,2277,6981608,0.29,-260.74,-260.68,-260.79,1.05,0.25,0.25,23.81,23.81,18.93,25.71
242,9/4/02,600519,-260.74,-260.75,-260.7,-260.78,1789,5457397,0.23,-260.75,-260.7,-260.78,1.08,0.25,0.25,23.15,23.15,11.7,22.09
243,9/5/02,600519,-260.76,-260.81,-260.76,-260.81,2894,8795149,0.37,-260.81,-260.76,-260.81,1.02,0.25,0.18,24.51,17.65,9.58,20.78
244,9/6/02,600519,-260.8,-260.8,-260.78,-260.83,1860,5634774,0.24,-260.8,-260.78,-260.83,1.01,0.24,0.2,23.76,19.8,7.29,19.11
245,9/9/02,600519,-260.81,-260.86,-260.8,-260.87,2614,7873842,0.33,-260.86,-260.8,-260.87,0.99,0.22,0.24,22.22,24.24,6.02,17.47
246,9/10/02,600519,-260.88,-260.96,-260.85,-260.99,8057,23941530,1.02,-260.96,-260.85,-260.99,1.08,0.22,0.36,20.37,33.33,8.98,17.48
247,9/11/02,600519,-260.99,-261.07,-260.96,-261.18,9845,28552916,1.25,-261.07,-260.96,-261.18,1.2,0.14,0.55,11.67,45.83,18.88,18.9
248,9/12/02,600519,-261.1,-261.08,-261.04,-261.15,1717,4984486,0.22,-261.08,-261.04,-261.15,1.27,0.14,0.55,11.02,43.31,28.78,20.24
249,9/13/02,600519,-261.09,-261.06,-261.06,-261.11,1072,3119148,0.14,-261.06,-261.06,-261.11,1.2,0.14,0.44,11.67,36.67,34.69,22.13
250,9/16/02,600519,-261.07,-261.16,-261.06,-261.16,3924,11280816,0.5,-261.16,-261.06,-261.16,1.24,0.14,0.48,11.29,38.71,42.31,24.8
251,9/17/02,600519,-261.15,-261.12,-261.08,-261.18,2613,7538521,0.33,-261.12,-261.08,-261.18,1.2,0.09,0.5,7.5,41.67,53.17,29.59
252,9/18/02,600519,-261.1,-261.12,-261.1,-261.15,1616,4660761,0.21,-261.12,-261.1,-261.15,1.2,0.09,0.49,7.5,40.83,60.64,34.81
253,9/19/02,600519,-261.14,-261.1,-261.06,-261.19,3650,10478770,0.46,-261.1,-261.06,-261.19,1.3,0.09,0.49,6.92,37.69,62.23,40.56
254,9/20/02,600519,-261.1,-261.15,-261.1,-261.17,1373,3949578,0.17,-261.15,-261.1,-261.17,1.34,0.09,0.47,6.72,35.07,63.64,46.21
255,9/23/02,600519,-261.17,-261.22,-261.15,-261.23,2121,6061634,0.27,-261.22,-261.15,-261.23,1.31,0.0,0.53,0.0,40.46,71.69,53.19
256,9/24/02,600519,-261.23,-261.32,-261.22,-261.34,7149,20063143,0.91,-261.32,-261.22,-261.34,1.35,0.0,0.64,0.0,47.41,79.21,60.76
257,9/25/02,600519,-261.32,-261.25,-261.19,-261.32,3557,10075783,0.45,-261.25,-261.19,-261.32,1.42,0.03,0.61,2.11,42.96,82.74,67.95
258,9/26/02,600519,-261.24,-261.31,-261.24,-261.31,2168,6093149,0.28,-261.31,-261.24,-261.31,1.44,0.03,0.59,2.08,40.97,86.3,73.47
259,9/27/02,600519,-261.29,-261.27,-261.24,-261.32,1505,4234851,0.19,-261.27,-261.24,-261.32,1.45,0.03,0.56,2.07,38.62,89.77,76.0
260,10/8/02,600519,-261.28,-261.3,-261.28,-261.33,3590,10069826,0.46,-261.3,-261.28,-261.33,1.37,0.03,0.45,2.19,32.85,93.05,78.34
261,10/9/02,600519,-261.31,-261.37,-261.3,-261.41,2459,6822147,0.31,-261.37,-261.3,-261.41,1.26,0.03,0.34,2.38,26.98,90.34,81.02
262,10/10/02,600519,-261.38,-261.36,-261.31,-261.39,1088,3018141,0.14,-261.36,-261.31,-261.39,1.23,0.03,0.34,2.44,27.64,87.64,83.43
263,10/11/02,600519,-261.38,-261.41,-261.34,-261.42,1217,3366265,0.15,-261.41,-261.34,-261.42,1.26,0.03,0.37,2.38,29.37,86.7,84.72
264,10/14/02,600519,-261.34,-261.4,-261.34,-261.42,1095,3024408,0.14,-261.4,-261.34,-261.42,1.24,0.03,0.32,2.42,25.81,85.46,85.88
265,10/15/02,600519,-261.4,-261.36,-261.36,-261.41,2066,5710573,0.26,-261.36,-261.36,-261.41,1.19,0.03,0.3,2.52,25.21,84.12,86.95
266,10/16/02,600519,-261.36,-261.33,-261.27,-261.36,2261,6327939,0.29,-261.33,-261.27,-261.36,1.23,0.12,0.3,9.76,24.39,76.68,84.86
267,10/17/02,600519,-261.33,-261.4,-261.31,-261.42,1565,4336014,0.2,-261.4,-261.31,-261.42,1.21,0.12,0.36,9.92,29.75,71.05,80.7
268,10/18/02,600519,-261.42,-261.57,-261.38,-261.63,4635,12464187,0.59,-261.57,-261.38,-261.63,1.39,0.12,0.57,8.63,41.01,67.96,77.8
269,10/21/02,600519,-261.58,-261.57,-261.47,-261.63,1646,4391499,0.21,-261.57,-261.47,-261.63,1.47,0.12,0.51,8.16,34.69,64.11,75.41
270,10/22/02,600519,-261.54,-261.45,-261.41,-261.55,2106,5735513,0.27,-261.45,-261.41,-261.55,1.51,0.18,0.4,11.92,26.49,56.62,71.04
271,10/23/02,600519,-261.43,-261.5,-261.43,-261.53,1081,2938025,0.14,-261.5,-261.43,-261.53,1.48,0.15,0.4,10.14,27.03,50.56,67.34
272,10/24/02,600519,-261.51,-261.51,-261.45,-261.51,971,2637743,0.12,-261.51,-261.45,-261.51,1.47,0.15,0.4,10.2,27.21,50.99,63.84
273,10/25/02,600519,-261.51,-261.61,-261.51,-261.62,2368,6346386,0.3,-261.61,-261.51,-261.62,1.5,0.15,0.5,10.0,33.33,51.63,61.34
274,10/28/02,600519,-261.62,-261.76,-261.62,-261.77,4472,11679872,0.57,-261.76,-261.62,-261.77,1.6,0.15,0.64,9.38,40.0,51.1,59.53
275,10/29/02,600519,-261.64,-261.71,-261.64,-261.84,3199,8294858,0.41,-261.71,-261.64,-261.84,1.69,0.15,0.63,8.88,37.28,51.04,57.58
276,10/30/02,600519,-261.7,-261.75,-261.69,-261.76,2036,5323624,0.26,-261.75,-261.69,-261.76,1.68,0.15,0.63,8.93,37.5,54.98,55.8
277,10/31/02,600519,-261.75,-261.73,-261.65,-261.75,2817,7375701,0.36,-261.73,-261.65,-261.75,1.7,0.19,0.6,11.18,35.29,56.05,53.31
278,11/1/02,600519,-261.73,-261.7,-261.69,-261.76,1471,3830309,0.19,-261.7,-261.69,-261.76,1.69,0.19,0.61,11.24,36.09,57.22,54.11
279,11/4/02,600519,-261.7,-261.61,-261.61,-261.7,1995,5271415,0.25,-261.61,-261.61,-261.7,1.73,0.27,0.61,15.61,35.26,54.69,53.16
280,11/5/02,600519,-261.6,-261.55,-261.49,-261.64,3485,9402742,0.44,-261.55,-261.49,-261.64,1.79,0.3,0.61,16.76,34.08,50.03,50.57
281,11/6/02,600519,-261.54,-261.59,-261.54,-261.6,1623,4344756,0.21,-261.59,-261.54,-261.6,1.74,0.3,0.55,17.24,31.61,44.68,47.86
282,11/7/02,600519,-261.59,-261.61,-261.57,-261.64,2417,6446131,0.31,-261.61,-261.57,-261.64,1.56,0.3,0.38,19.23,24.36,36.38,45.68
283,11/8/02,600519,-261.49,-261.73,-261.49,-261.76,2718,7151816,0.35,-261.73,-261.49,-261.76,1.67,0.3,0.5,17.96,29.94,31.9,43.97
284,11/11/02,600519,-261.72,-261.75,-261.68,-261.79,1883,4915876,0.24,-261.75,-261.68,-261.79,1.62,0.24,0.53,14.81,32.72,29.42,43.32
285,11/12/02,600519,-261.74,-261.8,-261.69,-261.81,2396,6207445,0.3,-261.8,-261.69,-261.81,1.64,0.24,0.55,14.63,33.54,29.52,42.11
286,11/13/02,600519,-261.8,-261.76,-261.75,-261.82,1954,5035473,0.25,-261.76,-261.75,-261.82,1.65,0.24,0.56,14.55,33.94,30.51,40.27
287,11/14/02,600519,-261.76,-261.79,-261.72,-261.8,1688,4380220,0.21,-261.79,-261.72,-261.8,1.62,0.27,0.45,16.67,27.78,29.78,37.23
288,11/15/02,600519,-261.8,-261.79,-261.74,-261.83,2349,6065973,0.3,-261.79,-261.74,-261.83,1.55,0.27,0.33,17.42,21.29,29.48,32.93
289,11/18/02,600519,-261.8,-261.75,-261.74,-261.8,1947,5049727,0.25,-261.75,-261.74,-261.8,1.41,0.27,0.26,19.15,18.44,25.63,28.76
290,11/19/02,600519,-261.75,-261.66,-261.63,-261.77,3218,8450560,0.41,-261.66,-261.63,-261.77,1.48,0.38,0.26,25.68,17.57,22.48,25.95
291,11/20/02,600519,-261.65,-261.68,-261.6,-261.77,9579,25196773,1.22,-261.68,-261.6,-261.77,1.55,0.37,0.26,23.87,16.77,18.85,24.19
292,11/21/02,600519,-261.7,-261.78,-261.66,-261.78,4020,10494850,0.51,-261.78,-261.66,-261.78,1.6,0.37,0.26,23.12,16.25,15.09,22.8
293,11/22/02,600519,-261.75,-261.77,-261.69,-261.84,2429,6292793,0.31,-261.77,-261.69,-261.84,1.66,0.29,0.32,17.47,19.28,11.75,20.76
294,11/25/02,600519,-261.77,-261.71,-261.69,-261.84,3988,10418495,0.51,-261.71,-261.69,-261.84,1.66,0.17,0.32,10.24,19.28,15.18,22.33
295,11/26/02,600519,-261.69,-261.82,-261.66,-261.82,2055,5354392,0.26,-261.82,-261.66,-261.82,1.76,0.2,0.32,11.36,18.18,18.71,22.17
296,11/27/02,600519,-261.84,-261.83,-261.76,-261.88,3321,8506108,0.42,-261.83,-261.76,-261.88,1.81,0.2,0.34,11.05,18.78,19.91,21.19
297,11/28/02,600519,-261.82,-261.69,-261.66,-261.84,2492,6508407,0.32,-261.69,-261.66,-261.84,1.72,0.3,0.22,17.44,12.79,19.56,19.21
298,12/2/02,600519,-261.64,-261.75,-261.6,-261.77,5851,15455370,0.74,-261.75,-261.6,-261.77,1.78,0.36,0.19,20.22,10.67,21.8,18.45
