,Date,code,Open,Close,High,Low,Vol,VoT,振幅,涨跌幅,涨跌额,exchange,CLOSE,HIGH,LOW,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
196,2002-07-02,600519,36.8,36.75,36.8,36.58,3935,14439880.0,0.6,-0.14,-0.05,0.55,36.75,36.8,36.58,11.18,4.95,1.32,44.28,11.81,63.16,37.18
197,2002-07-03,600519,36.75,36.66,36.85,36.5,5333,19520104.0,0.95,-0.24,-0.09,0.75,36.66,36.85,36.5,10.96,4.95,1.3,45.16,11.86,60.29,41.23
198,2002-07-04,600519,36.68,36.07,36.7,36.0,6670,24199148.0,1.91,-1.61,-0.59,0.93,36.07,36.7,36.0,11.24,4.77,1.8,42.44,16.01,57.12,42.92
199,2002-07-05,600519,36.06,36.16,36.18,36.0,6816,24596151.0,0.5,0.25,0.09,0.95,36.16,36.18,36.0,10.82,4.77,1.52,44.09,14.05,56.0,47.15
200,2002-07-08,600519,36.18,36.17,36.46,36.1,3193,11563090.0,1.0,0.03,0.01,0.45,36.17,36.46,36.1,10.82,5.05,1.22,46.67,11.28,56.23,52.01
201,2002-07-09,600519,36.18,36.12,36.24,36.03,3523,12721871.0,0.58,-0.14,-0.05,0.49,36.12,36.24,36.03,10.6,4.63,1.29,43.68,12.17,55.11,56.6
202,2002-07-10,600519,36.12,35.72,36.24,35.65,4623,16561215.0,1.63,-1.11,-0.4,0.65,35.72,36.24,35.65,10.89,4.63,1.67,42.52,15.34,53.29,58.23
203,2002-07-11,600519,35.63,35.93,36.25,35.63,2358,8471292.0,1.74,0.59,0.21,0.33,35.93,36.25,35.63,11.19,4.58,1.69,40.93,15.1,51.24,55.77
204,2002-07-12,600519,35.99,36.03,36.18,35.8,1588,5724883.0,1.06,0.28,0.1,0.22,36.03,36.18,35.8,10.75,3.93,1.69,36.56,15.72,50.35,53.73
205,2002-07-15,600519,36.01,35.91,36.16,35.9,1309,4708941.0,0.72,-0.33,-0.12,0.18,35.91,36.16,35.9,7.46,0.59,1.69,7.91,22.65,49.78,52.89
206,2002-07-16,600519,35.68,35.9,36.13,35.68,2316,8339593.0,1.25,-0.03,-0.01,0.32,35.9,36.13,35.68,6.29,0.59,1.47,9.38,23.37,46.72,51.47
207,2002-07-17,600519,35.95,35.9,36.0,35.65,1342,4803760.0,0.97,0.0,0.0,0.19,35.9,36.0,35.65,6.06,0.59,1.5,9.74,24.75,44.57,49.84
208,2002-07-18,600519,36.05,36.24,36.49,36.0,5894,21394400.0,1.36,0.95,0.34,0.82,36.24,36.49,36.0,5.97,0.88,1.5,14.74,25.13,41.08,47.19
209,2002-07-19,600519,36.37,36.39,36.46,36.26,2517,9151205.0,0.55,0.41,0.15,0.35,36.39,36.46,36.26,5.48,0.77,1.5,14.05,27.37,38.76,45.0
210,2002-07-22,600519,36.68,36.4,36.7,36.33,6104,22267992.0,1.02,0.03,0.01,0.85,36.4,36.7,36.33,5.63,1.01,1.3,17.94,23.09,34.21,42.28
211,2002-07-23,600519,36.45,36.25,36.45,36.01,2902,10500988.0,1.21,-0.41,-0.15,0.41,36.25,36.45,36.01,5.72,1.01,1.54,17.66,26.92,29.63,39.71
212,2002-07-24,600519,36.3,36.4,36.49,36.1,4664,16952456.0,1.08,0.41,0.15,0.65,36.4,36.49,36.1,5.41,1.05,1.04,19.41,19.22,22.59,34.66
213,2002-07-25,600519,32.61,32.31,32.81,32.11,1700,5497155.0,1.92,-11.24,-4.09,0.22,32.31,32.81,32.11,9.52,1.05,5.03,11.03,52.84,26.25,35.41
214,2002-07-26,600519,32.5,32.13,32.5,32.07,1558,5017641.0,1.33,-0.56,-0.18,0.2,32.13,32.5,32.07,9.59,0.77,5.07,8.03,52.87,34.18,37.63
215,2002-07-29,600519,32.2,31.69,32.28,31.58,2557,8122111.0,2.18,-1.37,-0.44,0.33,31.69,32.28,31.58,10.08,0.77,5.49,7.64,54.46,41.38,40.07
216,2002-07-30,600519,31.68,31.52,31.75,31.48,3446,10878707.0,0.85,-0.54,-0.17,0.44,31.52,31.75,31.48,9.76,0.77,5.21,7.89,53.38,51.67,42.94
217,2002-07-31,600519,31.52,31.32,31.7,31.25,2580,8116149.0,1.43,-0.63,-0.2,0.33,31.32,31.7,31.25,9.59,0.77,5.42,8.03,56.52,60.72,45.18
218,2002-08-01,600519,31.28,31.24,31.49,31.15,2001,6261720.0,1.09,-0.26,-0.08,0.25,31.24,31.49,31.15,9.55,0.77,5.52,8.06,57.8,73.23,47.91
219,2002-08-02,600519,31.3,31.43,31.78,31.05,1254,3927364.0,2.34,0.61,0.19,0.16,31.43,31.78,31.05,10.02,1.06,5.52,10.58,55.09,73.62,49.93
220,2002-08-05,600519,31.44,31.32,31.5,31.25,1078,3381000.0,0.8,-0.35,-0.11,0.14,31.32,31.5,31.25,9.82,1.06,5.3,10.79,53.97,72.46,53.32
221,2002-08-06,600519,31.32,31.42,31.58,31.22,2092,6575058.0,1.15,0.32,0.1,0.27,31.42,31.58,31.22,9.83,1.14,5.27,11.6,53.61,70.63,56.01
222,2002-08-07,600519,31.43,31.42,31.5,31.35,1356,4259610.0,0.48,0.0,0.0,0.17,31.42,31.5,31.35,9.39,0.65,5.27,6.92,56.12,71.26,61.46
223,2002-08-08,600519,31.42,31.29,31.57,31.2,1265,3969885.0,1.18,-0.41,-0.13,0.16,31.29,31.57,31.2,9.54,0.65,5.42,6.81,56.81,71.84,66.28
224,2002-08-09,600519,31.21,30.98,31.35,30.94,2490,7741685.0,1.31,-0.99,-0.31,0.32,30.98,31.35,30.94,9.58,0.41,5.68,4.28,59.29,73.67,73.45
225,2002-08-12,600519,30.8,30.6,30.88,30.6,2251,6900600.0,0.9,-1.23,-0.38,0.29,30.6,30.88,30.6,9.52,0.41,5.7,4.31,59.87,76.81,75.21
226,2002-08-13,600519,30.7,30.6,30.7,30.4,1704,5204223.0,0.98,0.0,0.0,0.22,30.6,30.7,30.4,9.43,0.37,5.9,3.92,62.57,80.39,76.42
227,2002-08-14,600519,30.98,30.98,30.98,30.6,2472,7621220.0,1.24,1.24,0.38,0.31,30.98,30.98,30.6,5.52,0.65,1.91,11.78,34.6,77.86,74.24
228,2002-08-15,600519,30.98,30.76,30.98,30.75,1260,3886298.0,0.74,-0.71,-0.22,0.16,30.76,30.98,30.75,5.32,0.65,1.87,12.22,35.15,72.92,72.09
229,2002-08-16,600519,30.5,30.8,30.87,30.3,2241,6857222.0,1.85,0.13,0.04,0.28,30.8,30.87,30.3,5.19,0.65,1.83,12.52,35.26,67.75,69.8
230,2002-08-19,600519,30.79,30.66,30.9,30.61,1109,3407937.0,0.94,-0.45,-0.14,0.14,30.66,30.9,30.61,5.21,0.68,1.73,13.05,33.21,60.59,67.13
231,2002-08-20,600519,30.59,30.9,30.99,30.59,2372,7316845.0,1.3,0.78,0.24,0.3,30.9,30.99,30.59,5.16,0.77,1.5,14.92,29.07,51.52,64.16
232,2002-08-21,600519,31.0,30.9,31.0,30.77,1695,5229829.0,0.74,0.0,0.0,0.22,30.9,31.0,30.77,5.05,0.78,1.4,15.45,27.72,41.56,60.98
233,2002-08-22,600519,31.0,31.18,31.37,30.9,4220,13173485.0,1.52,0.91,0.28,0.54,31.18,31.37,30.9,4.79,0.86,1.4,17.95,29.23,37.34,57.6
234,2002-08-23,600519,31.15,31.23,31.35,31.15,2431,7592485.0,0.64,0.16,0.05,0.31,31.23,31.35,31.15,4.74,0.86,1.4,18.14,29.54,33.26,53.09
235,2002-08-26,600519,31.15,30.73,31.15,30.69,2631,8109133.0,1.47,-1.6,-0.5,0.33,30.73,31.15,30.69,4.92,0.78,1.86,15.85,37.8,32.14,49.95
236,2002-08-27,600519,30.73,30.85,30.9,30.6,2584,7938100.0,0.98,0.39,0.12,0.33,30.85,30.9,30.6,5.07,0.78,1.95,15.38,38.46,32.03,46.31
237,2002-08-28,600519,30.89,30.55,31.12,30.5,3765,11550000.0,2.01,-0.97,-0.3,0.48,30.55,31.12,30.5,5.32,1.0,1.8,18.8,33.83,31.43,41.48
238,2002-08-29,600519,30.55,30.49,30.68,30.45,2899,8846652.0,0.75,-0.2,-0.06,0.37,30.49,30.68,30.45,5.14,1.0,1.59,19.46,30.93,30.48,36.02
239,2002-08-30,600519,30.56,30.47,30.56,30.42,1887,5751168.0,0.46,-0.07,-0.02,0.24,30.47,30.56,30.42,4.9,1.0,1.28,20.41,26.12,28.55,32.95
240,2002-09-02,600519,30.45,30.4,30.5,30.35,2341,7119903.0,0.49,-0.23,-0.07,0.3,30.4,30.5,30.35,4.75,1.0,1.15,21.05,24.21,25.73,29.49
241,2002-09-03,600519,30.4,30.63,30.88,30.4,2277,6981608.0,1.58,0.76,0.23,0.29,30.63,30.88,30.4,4.85,1.1,1.15,22.68,23.71,19.28,25.71
242,2002-09-04,600519,30.63,30.59,30.79,30.42,1789,5457397.0,1.21,-0.13,-0.04,0.23,30.59,30.79,30.42,4.99,1.1,1.15,22.04,23.05,12.51,22.27
243,2002-09-05,600519,30.52,30.3,30.52,30.3,2894,8795149.0,0.72,-0.95,-0.29,0.37,30.3,30.52,30.3,4.71,1.1,0.82,23.35,17.41,10.18,20.8
244,2002-09-06,600519,30.35,30.35,30.46,30.2,1860,5634774.0,0.86,0.17,0.05,0.24,30.35,30.46,30.2,4.68,1.07,0.92,22.86,19.66,7.64,19.06
245,2002-09-09,600519,30.3,30.07,30.35,30.02,2614,7873842.0,1.09,-0.92,-0.28,0.33,30.07,30.35,30.02,4.61,0.98,1.1,21.26,23.86,6.55,17.55
246,2002-09-10,600519,30.0,29.6,30.1,29.48,8057,23941530.0,2.06,-1.56,-0.47,1.02,29.6,30.1,29.48,5.0,0.97,1.64,19.4,32.8,9.67,17.7
247,2002-09-11,600519,29.46,29.1,29.6,28.6,9845,28552916.0,3.38,-1.69,-0.5,1.25,29.1,29.6,28.6,5.53,0.6,2.52,10.85,45.57,19.55,19.42
248,2002-09-12,600519,29.0,29.07,29.25,28.77,1717,4984486.0,1.65,-0.1,-0.03,0.22,29.07,29.25,28.77,5.81,0.6,2.52,10.33,43.37,29.44,20.97
249,2002-09-13,600519,29.01,29.16,29.18,28.92,1072,3119148.0,0.89,0.31,0.09,0.14,29.16,29.18,28.92,5.53,0.6,2.06,10.85,37.25,36.16,23.17
250,2002-09-16,600519,29.11,28.7,29.17,28.69,3924,11280816.0,1.65,-1.58,-0.46,0.5,28.7,29.17,28.69,5.71,0.6,2.2,10.51,38.53,44.42,26.03
251,2002-09-17,600519,28.75,28.9,29.08,28.62,2613,7538521.0,1.6,0.7,0.2,0.33,28.9,29.08,28.62,5.55,0.38,2.27,6.85,40.9,55.35,30.95
252,2002-09-18,600519,28.99,28.87,28.99,28.73,1616,4660761.0,0.9,-0.1,-0.03,0.21,28.87,28.99,28.73,5.58,0.38,2.22,6.81,39.78,62.87,36.27
253,2002-09-19,600519,28.8,29.0,29.15,28.57,3650,10478770.0,2.01,0.45,0.13,0.46,29.0,29.15,28.57,6.02,0.38,2.19,6.31,36.38,64.35,41.95
254,2002-09-20,600519,28.97,28.73,28.97,28.67,1373,3949578.0,1.03,-0.93,-0.27,0.17,28.73,28.97,28.67,6.2,0.38,2.12,6.13,34.19,65.69,47.57
255,2002-09-23,600519,28.68,28.43,28.73,28.4,2121,6061634.0,1.15,-1.04,-0.3,0.27,28.43,28.73,28.4,6.05,0.0,2.39,0.0,39.5,73.21,54.68
256,2002-09-24,600519,28.4,27.98,28.43,27.9,7149,20063143.0,1.86,-1.58,-0.45,0.91,27.98,28.43,27.9,6.21,0.0,2.89,0.0,46.54,80.35,62.39
257,2002-09-25,600519,27.98,28.3,28.55,27.98,3557,10075783.0,2.04,1.14,0.32,0.45,28.3,28.55,27.98,6.49,0.12,2.77,1.85,42.68,83.75,69.55
258,2002-09-26,600519,28.36,28.03,28.36,28.01,2168,6093149.0,1.24,-0.95,-0.27,0.28,28.03,28.36,28.01,6.58,0.12,2.67,1.82,40.58,87.19,75.03
259,2002-09-27,600519,28.12,28.18,28.35,27.98,1505,4234851.0,1.32,0.54,0.15,0.19,28.18,28.35,27.98,6.62,0.12,2.52,1.81,38.07,90.6,77.47
260,2002-10-08,600519,28.15,28.08,28.15,27.93,3590,10069826.0,0.78,-0.35,-0.1,0.46,28.08,28.15,27.93,6.25,0.12,2.03,1.92,32.48,93.81,79.75
261,2002-10-09,600519,28.0,27.73,28.05,27.58,2459,6822147.0,1.67,-1.25,-0.35,0.31,27.73,28.05,27.58,5.75,0.12,1.5,2.09,26.09,91.34,82.27
262,2002-10-10,600519,27.7,27.78,28.03,27.65,1088,3018141.0,1.37,0.18,0.05,0.14,27.78,28.03,27.65,5.65,0.12,1.5,2.12,26.55,88.87,84.61
263,2002-10-11,600519,27.68,27.58,27.9,27.5,1217,3366265.0,1.44,-0.72,-0.2,0.15,27.58,27.9,27.5,5.79,0.12,1.65,2.07,28.5,87.99,85.87
264,2002-10-14,600519,27.9,27.62,27.9,27.52,1095,3024408.0,1.38,0.15,0.04,0.14,27.62,27.9,27.52,5.69,0.12,1.42,2.11,24.96,86.83,87.01
265,2002-10-15,600519,27.6,27.78,27.79,27.55,2066,5710573.0,0.87,0.58,0.16,0.26,27.78,27.79,27.55,5.47,0.12,1.35,2.19,24.68,85.62,88.11
266,2002-10-16,600519,27.78,27.91,28.19,27.77,2261,6327939.0,1.51,0.47,0.13,0.29,27.91,28.19,27.77,5.63,0.52,1.35,9.24,23.98,78.21,86.01
267,2002-10-17,600519,27.91,27.59,28.0,27.5,1565,4336014.0,1.79,-1.15,-0.32,0.2,27.59,28.0,27.5,5.55,0.52,1.62,9.37,29.19,72.58,81.96
268,2002-10-18,600519,27.5,26.81,27.68,26.55,4635,12464187.0,4.1,-2.83,-0.78,0.59,26.81,27.68,26.55,6.35,0.52,2.57,8.19,40.47,69.44,79.16
269,2002-10-21,600519,26.79,26.85,27.28,26.55,1646,4391499.0,2.72,0.15,0.04,0.21,26.85,27.28,26.55,6.75,0.52,2.3,7.7,34.07,65.56,76.77
270,2002-10-22,600519,26.97,27.38,27.55,26.9,2106,5735513.0,2.42,1.97,0.53,0.27,27.38,27.55,26.9,6.92,0.79,1.8,11.42,26.01,57.99,72.41
271,2002-10-23,600519,27.45,27.13,27.45,27.03,1081,2938025.0,1.53,-0.91,-0.25,0.14,27.13,27.45,27.03,6.77,0.67,1.8,9.9,26.59,51.67,68.64
272,2002-10-24,600519,27.1,27.11,27.38,27.1,971,2637743.0,1.03,-0.07,-0.02,0.12,27.11,27.38,27.1,6.7,0.67,1.8,10.0,26.87,51.89,65.05
273,2002-10-25,600519,27.11,26.65,27.12,26.6,2368,6346386.0,1.92,-1.7,-0.46,0.3,26.65,27.12,26.6,6.85,0.67,2.27,9.78,33.14,52.4,62.49
274,2002-10-28,600519,26.6,25.96,26.6,25.9,4472,11679872.0,2.63,-2.59,-0.69,0.57,25.96,26.6,25.9,7.35,0.67,2.92,9.12,39.73,51.79,60.61
275,2002-10-29,600519,26.5,26.21,26.5,25.61,3199,8294858.0,3.43,0.96,0.25,0.41,26.21,26.5,25.61,7.74,0.67,2.86,8.66,36.95,51.6,58.58
276,2002-10-30,600519,26.25,26.03,26.3,25.96,2036,5323624.0,1.3,-0.69,-0.18,0.26,26.03,26.3,25.96,7.7,0.67,2.86,8.7,37.14,55.45,56.72
277,2002-10-31,600519,26.03,26.09,26.48,26.0,2817,7375701.0,1.84,0.23,0.06,0.36,26.09,26.48,26.0,7.78,0.85,2.71,10.93,34.83,56.53,54.1
278,2002-11-01,600519,26.08,26.22,26.27,25.96,1471,3830309.0,1.19,0.5,0.13,0.19,26.22,26.27,25.96,7.71,0.85,2.75,11.02,35.67,57.7,54.8
279,2002-11-04,600519,26.22,26.66,26.66,26.22,1995,5271415.0,1.68,1.68,0.44,0.25,26.66,26.66,26.22,7.91,1.24,2.75,15.68,34.77,54.94,53.67
280,2002-11-05,600519,26.7,26.91,27.2,26.51,3485,9402742.0,2.59,0.94,0.25,0.44,26.91,27.2,26.51,8.18,1.38,2.75,16.87,33.62,50.02,50.9
281,2002-11-06,600519,26.95,26.72,26.98,26.7,1623,4344756.0,1.04,-0.71,-0.19,0.21,26.72,26.98,26.7,7.96,1.38,2.48,17.34,31.16,44.43,48.02
282,2002-11-07,600519,26.75,26.63,26.85,26.52,2417,6446131.0,1.24,-0.34,-0.09,0.31,26.63,26.85,26.52,7.16,1.38,1.71,19.27,23.88,35.87,45.66
283,2002-11-08,600519,27.2,26.08,27.2,25.96,2718,7151816.0,4.66,-2.07,-0.55,0.35,26.08,27.2,25.96,7.67,1.38,2.27,17.99,29.6,31.23,43.88
284,2002-11-11,600519,26.13,26.01,26.35,25.81,1883,4915876.0,2.07,-0.27,-0.07,0.24,26.01,26.35,25.81,7.51,1.11,2.42,14.78,32.22,28.61,43.16
