日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-08,600519,1423.05,1420.97,1426.5,1418.0,18655,2651478118.0,0.6,-0.1,-1.38,0.15
2025-08-11,600519,1423.5,1445.0,1451.99,1423.0,47159,6794034090.0,2.04,1.69,24.03,0.38
